source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
admissions,London,2020-09-20,,0.95,0.95,0.048,0.87,0.92,0.94,0.96,0.98,1
admissions,London,2020-09-21,,0.96,0.96,0.045,0.89,0.93,0.95,0.97,0.99,1
admissions,London,2020-09-22,,0.98,0.98,0.043,0.91,0.95,0.97,0.99,1,1
admissions,London,2020-09-23,,0.99,0.99,0.042,0.92,0.97,0.98,1,1,1.1
admissions,London,2020-09-24,,1,1,0.042,0.94,0.99,1,1,1,1.1
admissions,London,2020-09-25,,1,1,0.042,0.96,1,1,1,1.1,1.1
admissions,London,2020-09-26,,1.1,1.1,0.042,0.99,1,1.1,1.1,1.1,1.1
admissions,London,2020-09-27,,1.1,1.1,0.042,1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-09-28,,1.1,1.1,0.041,1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-09-29,,1.1,1.1,0.041,1.1,1.1,1.1,1.2,1.2,1.2
admissions,London,2020-09-30,,1.2,1.2,0.041,1.1,1.1,1.2,1.2,1.2,1.2
admissions,London,2020-10-01,,1.2,1.2,0.041,1.1,1.2,1.2,1.2,1.2,1.3
admissions,London,2020-10-02,,1.2,1.2,0.041,1.2,1.2,1.2,1.2,1.3,1.3
admissions,London,2020-10-03,,1.2,1.2,0.041,1.2,1.2,1.2,1.3,1.3,1.3
admissions,London,2020-10-04,,1.3,1.3,0.042,1.2,1.2,1.3,1.3,1.3,1.3
admissions,London,2020-10-05,,1.3,1.3,0.042,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-06,,1.3,1.3,0.042,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-07,,1.3,1.3,0.042,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-08,,1.3,1.3,0.043,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-09,,1.3,1.3,0.043,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-10,,1.3,1.3,0.042,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-11,,1.3,1.3,0.042,1.2,1.3,1.3,1.3,1.3,1.4
admissions,London,2020-10-12,,1.3,1.3,0.04,1.2,1.2,1.3,1.3,1.3,1.3
admissions,London,2020-10-13,,1.3,1.3,0.039,1.2,1.2,1.2,1.3,1.3,1.3
admissions,London,2020-10-14,,1.2,1.2,0.038,1.2,1.2,1.2,1.2,1.3,1.3
admissions,London,2020-10-15,,1.2,1.2,0.036,1.2,1.2,1.2,1.2,1.2,1.3
admissions,London,2020-10-16,,1.2,1.2,0.035,1.1,1.2,1.2,1.2,1.2,1.2
admissions,London,2020-10-17,,1.2,1.2,0.034,1.1,1.1,1.1,1.2,1.2,1.2
admissions,London,2020-10-18,,1.1,1.1,0.033,1.1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-10-19,,1.1,1.1,0.033,1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-10-20,,1.1,1.1,0.033,1,1.1,1.1,1.1,1.1,1.1
admissions,London,2020-10-21,,1.1,1.1,0.033,1,1,1,1.1,1.1,1.1
admissions,London,2020-10-22,,1,1,0.034,0.98,1,1,1,1.1,1.1
admissions,London,2020-10-23,,1,1,0.035,0.96,0.99,1,1,1,1.1
admissions,London,2020-10-24,,1,1,0.035,0.94,0.98,0.99,1,1,1.1
admissions,London,2020-10-25,,0.99,0.99,0.036,0.93,0.97,0.98,1,1,1
admissions,London,2020-10-26,,0.99,0.99,0.036,0.92,0.96,0.98,1,1,1
admissions,London,2020-10-27,,0.99,0.98,0.035,0.92,0.96,0.98,0.99,1,1
admissions,London,2020-10-28,,0.99,0.99,0.034,0.93,0.96,0.98,1,1,1
admissions,London,2020-10-29,,0.99,0.99,0.033,0.93,0.97,0.99,1,1,1
admissions,London,2020-10-30,,1,1,0.031,0.95,0.98,1,1,1,1
admissions,London,2020-10-31,,1,1,0.03,0.96,0.99,1,1,1,1.1
admissions,London,2020-11-01,,1,1,0.029,0.98,1,1,1,1,1.1
admissions,London,2020-11-02,,1,1,0.03,0.99,1,1,1,1.1,1.1
admissions,London,2020-11-03,,1,1.1,0.032,1,1,1,1.1,1.1,1.1
admissions,London,2020-11-04,,1.1,1.1,0.035,1,1,1.1,1.1,1.1,1.1
admissions,London,2020-11-05,,1.1,1.1,0.038,1,1,1.1,1.1,1.1,1.1
admissions,London,2020-11-06,,1.1,1.1,0.04,1,1.1,1.1,1.1,1.1,1.1
admissions,London,2020-11-07,,1.1,1.1,0.041,1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-11-08,,1.1,1.1,0.041,1,1.1,1.1,1.1,1.1,1.2
admissions,London,2020-11-09,,1.1,1.1,0.039,1,1,1.1,1.1,1.1,1.1
admissions,London,2020-11-10,,1.1,1.1,0.037,1,1,1.1,1.1,1.1,1.1
admissions,London,2020-11-11,,1.1,1.1,0.034,1,1,1,1.1,1.1,1.1
admissions,London,2020-11-12,,1,1,0.032,0.99,1,1,1,1.1,1.1
admissions,London,2020-11-13,,1,1,0.03,0.97,1,1,1,1,1.1
admissions,London,2020-11-14,,1,1,0.029,0.96,0.99,1,1,1,1.1
admissions,London,2020-11-15,,0.99,0.99,0.03,0.94,0.97,0.98,1,1,1
admissions,London,2020-11-16,,0.98,0.98,0.032,0.92,0.96,0.97,0.99,1,1
admissions,London,2020-11-17,,0.97,0.97,0.034,0.91,0.95,0.96,0.98,0.99,1
admissions,London,2020-11-18,,0.96,0.96,0.036,0.9,0.94,0.95,0.97,0.98,1
admissions,London,2020-11-19,,0.96,0.95,0.037,0.89,0.93,0.95,0.96,0.98,1
admissions,London,2020-11-20,,0.95,0.95,0.038,0.89,0.93,0.95,0.97,0.98,1
admissions,London,2020-11-21,,0.96,0.96,0.038,0.9,0.93,0.95,0.97,0.99,1
admissions,London,2020-11-22,,0.97,0.97,0.037,0.91,0.94,0.96,0.98,0.99,1
admissions,London,2020-11-23,,0.98,0.98,0.037,0.92,0.95,0.97,0.99,1,1
admissions,London,2020-11-24,,1,1,0.036,0.94,0.97,0.99,1,1,1.1
admissions,London,2020-11-25,,1,1,0.035,0.96,0.99,1,1,1,1.1
admissions,London,2020-11-26,,1,1,0.035,0.98,1,1,1,1.1,1.1
admissions,London,2020-11-27,,1.1,1.1,0.036,1,1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-09-15,,1.1,1.1,0.11,0.97,1.1,1.1,1.2,1.2,1.3
admissions,Midlands,2020-09-16,,1.1,1.1,0.094,0.98,1.1,1.1,1.1,1.2,1.3
admissions,Midlands,2020-09-17,,1.1,1.1,0.078,0.99,1.1,1.1,1.1,1.2,1.2
admissions,Midlands,2020-09-18,,1.1,1.1,0.064,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-19,,1.1,1.1,0.053,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-20,,1.1,1.1,0.046,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-21,,1.1,1.1,0.042,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-22,,1.1,1.1,0.04,1,1.1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-09-23,,1.1,1.1,0.04,1,1.1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-09-24,,1.1,1.1,0.041,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-25,,1.1,1.1,0.042,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-26,,1.1,1.1,0.042,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-27,,1.1,1.1,0.041,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-09-28,,1.1,1.1,0.04,1.1,1.1,1.1,1.1,1.2,1.2
admissions,Midlands,2020-09-29,,1.2,1.2,0.039,1.1,1.1,1.1,1.2,1.2,1.2
admissions,Midlands,2020-09-30,,1.2,1.2,0.037,1.1,1.1,1.2,1.2,1.2,1.2
admissions,Midlands,2020-10-01,,1.2,1.2,0.036,1.1,1.2,1.2,1.2,1.2,1.3
admissions,Midlands,2020-10-02,,1.2,1.2,0.035,1.2,1.2,1.2,1.2,1.2,1.3
admissions,Midlands,2020-10-03,,1.2,1.2,0.035,1.2,1.2,1.2,1.2,1.3,1.3
admissions,Midlands,2020-10-04,,1.3,1.3,0.036,1.2,1.2,1.3,1.3,1.3,1.3
admissions,Midlands,2020-10-05,,1.3,1.3,0.037,1.2,1.3,1.3,1.3,1.3,1.3
admissions,Midlands,2020-10-06,,1.3,1.3,0.039,1.2,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-07,,1.3,1.3,0.04,1.2,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-08,,1.3,1.3,0.041,1.3,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-09,,1.3,1.3,0.04,1.2,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-10,,1.3,1.3,0.039,1.2,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-11,,1.3,1.3,0.038,1.2,1.3,1.3,1.3,1.3,1.4
admissions,Midlands,2020-10-12,,1.3,1.3,0.036,1.2,1.3,1.3,1.3,1.3,1.3
admissions,Midlands,2020-10-13,,1.3,1.3,0.034,1.2,1.2,1.3,1.3,1.3,1.3
admissions,Midlands,2020-10-14,,1.2,1.2,0.033,1.2,1.2,1.2,1.3,1.3,1.3
admissions,Midlands,2020-10-15,,1.2,1.2,0.032,1.2,1.2,1.2,1.2,1.2,1.3
admissions,Midlands,2020-10-16,,1.2,1.2,0.031,1.2,1.2,1.2,1.2,1.2,1.3
admissions,Midlands,2020-10-17,,1.2,1.2,0.031,1.1,1.2,1.2,1.2,1.2,1.2
admissions,Midlands,2020-10-18,,1.2,1.2,0.032,1.1,1.1,1.2,1.2,1.2,1.2
admissions,Midlands,2020-10-19,,1.1,1.1,0.032,1.1,1.1,1.1,1.2,1.2,1.2
admissions,Midlands,2020-10-20,,1.1,1.1,0.033,1.1,1.1,1.1,1.1,1.2,1.2
admissions,Midlands,2020-10-21,,1.1,1.1,0.034,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-22,,1.1,1.1,0.034,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-23,,1.1,1.1,0.034,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-24,,1.1,1.1,0.033,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-25,,1.1,1.1,0.031,1,1.1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-10-26,,1.1,1.1,0.029,1.1,1.1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-10-27,,1.1,1.1,0.027,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-28,,1.1,1.1,0.027,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-29,,1.1,1.1,0.027,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-30,,1.1,1.1,0.029,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-10-31,,1.1,1.1,0.032,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-11-01,,1.1,1.1,0.034,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-11-02,,1.1,1.1,0.037,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-11-03,,1.1,1.1,0.037,1.1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-11-04,,1.1,1.1,0.037,1,1.1,1.1,1.1,1.1,1.2
admissions,Midlands,2020-11-05,,1.1,1.1,0.035,1,1.1,1.1,1.1,1.1,1.1
admissions,Midlands,2020-11-06,,1.1,1.1,0.033,1,1,1,1.1,1.1,1.1
admissions,Midlands,2020-11-07,,1,1,0.029,0.99,1,1,1,1.1,1.1
admissions,Midlands,2020-11-08,,1,1,0.027,0.97,0.99,1,1,1,1.1
admissions,Midlands,2020-11-09,,0.98,0.98,0.025,0.94,0.97,0.98,0.99,1,1
admissions,Midlands,2020-11-10,,0.96,0.96,0.025,0.92,0.94,0.95,0.96,0.97,1
admissions,Midlands,2020-11-11,,0.94,0.93,0.027,0.89,0.92,0.93,0.94,0.95,0.98
admissions,Midlands,2020-11-12,,0.92,0.91,0.029,0.86,0.89,0.91,0.92,0.93,0.96
admissions,Midlands,2020-11-13,,0.9,0.9,0.032,0.84,0.88,0.89,0.91,0.92,0.95
admissions,Midlands,2020-11-14,,0.89,0.89,0.033,0.83,0.86,0.88,0.89,0.91,0.94
admissions,Midlands,2020-11-15,,0.88,0.88,0.034,0.82,0.86,0.87,0.89,0.9,0.93
